Filename;ClassId
dataset\data/traffic_sign_interiit/dataset/New/Train/45\10175.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\1028.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\11205.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\11251.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\13236.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\1542.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\15570.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\15905.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\193.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\2604.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\2952.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\4849.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\4867.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\7675.jpg;45
dataset\data/traffic_sign_interiit/dataset/New/Train/45\9633.jpg;45
