Filename;ClassId
dataset\data/traffic_sign_interiit/dataset/New/Train/46\1012.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\117.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\1301.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\143.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\1774.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\1935.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\2443.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\3015.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\3178.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\3448.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\4107.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\4317.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\73.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\739.jpg;46
dataset\data/traffic_sign_interiit/dataset/New/Train/46\962.jpg;46
